year,month,price_band,downpmt_band,monthly_payment_band,monthdue_group,age_group,credit_score,payment_type,gender_label,payment_left_band,default_label
2020,1,2000–2400,225+,300+,4–6,<18,1,Debit payments,Female,1350+,Pass
2020,4,900–1200,100–150,180–300,4–6,<18,0,Credit payments,Female,900–1150,Pass
2020,3,900–1200,225+,0–80,7–9,<18,0,Cash payments,Male,700–900,Pass
2020,8,1200–1600,225+,120–180,7–9,<18,0,Store gift card,Female,1150–1350,Pass
2020,6,1200–1600,100–150,80–120,10–15,<18,0,Credit payments,Male,900–1150,Pass
2020,7,900–1200,225+,0–80,10–15,<18,1,Cash payments,Female,≤700,Pass
2020,5,1600–2000,100–150,120–180,10–15,<18,0,Credit payments,Female,1350+,Default
2020,8,900–1200,0–50,80–120,10–15,<18,0,Credit payments,Female,900–1150,Default
2020,4,600–900,0–50,0–80,15+,<18,0,Credit payments,Female,700–900,Pass
2020,3,900–1200,225+,300+,≤3,<18,0,Credit payments,Female,900–1150,Default
2020,9,900–1200,0–50,180–300,4–6,<18,7,Credit payments,Male,900–1150,Pass
2020,10,0–600,0–50,80–120,4–6,<18,0,Credit payments,Male,≤700,Default
2020,12,1600–2000,150–225,120–180,10–15,<18,0,Cash payments,Female,1350+,Pass
2020,12,1200–1600,0–50,180–300,4–6,<18,0,Cash payments,Male,1150–1350,Pass
2020,11,900–1200,50–100,180–300,4–6,<18,4,Debit payments,Female,900–1150,Pass
2020,2,0–600,150–225,0–80,10–15,<18,0,Credit payments,Male,≤700,Pass
2020,5,0–600,0–50,180–300,≤3,<18,0,Cash payments,Male,≤700,Pass
2020,9,1200–1600,50–100,120–180,7–9,<18,7,Debit payments,Female,900–1150,Pass
2020,8,1200–1600,0–50,120–180,7–9,<18,0,Credit payments,Male,1150–1350,Pass
2020,10,900–1200,225+,0–80,4–6,<18,0,Debit payments,Female,≤700,Pass
2020,11,900–1200,150–225,180–300,4–6,<18,0,Credit payments,Female,900–1150,Pass
2020,7,600–900,0–50,120–180,4–6,<18,7,Credit payments,Male,700–900,Pass
2020,10,900–1200,150–225,0–80,10–15,<18,0,Cash payments,Female,900–1150,Pass
2020,3,1600–2000,100–150,120–180,10–15,<18,0,Credit payments,Female,1350+,Default
2020,1,1200–1600,50–100,80–120,10–15,<18,0,Debit payments,Female,1150–1350,Pass
2020,8,2000–2400,225+,300+,≤3,<18,1,Cash payments,Female,1350+,Pass
2020,6,1200–1600,150–225,80–120,10–15,<18,0,Credit payments,Female,1150–1350,Pass
2020,4,900–1200,100–150,120–180,7–9,<18,0,Credit payments,Female,900–1150,Pass
2020,10,900–1200,100–150,180–300,4–6,<18,1,Debit payments,Female,900–1150,Pass
2020,9,1200–1600,150–225,300+,≤3,<18,0,Debit payments,Male,1150–1350,Pass
2020,12,900–1200,50–100,80–120,10–15,<18,0,Debit payments,Female,900–1150,Pass
2020,6,1200–1600,0–50,120–180,10–15,<18,0,Credit payments,Female,1350+,Default
2020,4,1200–1600,100–150,300+,≤3,<18,7,Credit payments,Male,1150–1350,Pass
2020,1,1200–1600,150–225,300+,≤3,<18,1,Debit payments,Male,1150–1350,Pass
2020,1,0–600,50–100,180–300,≤3,<18,4,Credit payments,Male,≤700,Pass
2020,10,600–900,0–50,120–180,4–6,<18,1,Debit payments,Female,700–900,Pass
2020,1,1200–1600,150–225,300+,≤3,<18,0,Cash payments,Male,1150–1350,Pass
2020,4,1200–1600,50–100,300+,≤3,<18,0,Debit payments,Male,1150–1350,Pass
2020,12,900–1200,0–50,80–120,10–15,<18,0,Credit payments,Male,900–1150,Default
2020,6,600–900,0–50,80–120,4–6,<18,0,Credit payments,Female,≤700,Default
2020,12,1600–2000,225+,300+,≤3,<18,0,Cash payments,Female,1150–1350,Pass
2020,4,1600–2000,100–150,120–180,10–15,<18,0,Debit payments,Male,1350+,Pass
2020,12,900–1200,150–225,180–300,≤3,<18,6,Cash payments,Female,700–900,Pass
2020,5,1200–1600,150–225,300+,≤3,<18,1,Cash payments,Male,1150–1350,Pass
2020,3,900–1200,225+,80–120,7–9,<18,5,Cash payments,Female,700–900,Pass
2020,5,1200–1600,50–100,180–300,4–6,<18,0,Debit payments,Female,1150–1350,Pass
2020,11,1200–1600,0–50,180–300,4–6,<18,1,Store gift card,Female,1150–1350,Pass
2020,2,900–1200,150–225,120–180,4–6,<18,0,Cash payments,Male,900–1150,Pass
2020,8,1200–1600,50–100,180–300,4–6,<18,0,Credit payments,Male,1150–1350,Default
2020,6,900–1200,0–50,0–80,10–15,<18,1,Credit payments,Female,900–1150,Pass
2020,8,1200–1600,150–225,300+,≤3,<18,0,Credit payments,Male,1150–1350,Pass
2020,10,0–600,0–50,80–120,4–6,<18,0,Credit payments,Male,≤700,Pass
2020,1,0–600,50–100,0–80,7–9,<18,0,Credit payments,Female,≤700,Default
2020,2,900–1200,100–150,180–300,4–6,<18,0,Credit payments,Female,900–1150,Pass
2020,5,600–900,50–100,180–300,4–6,<18,1,Credit payments,Male,700–900,Pass
2020,10,900–1200,225+,300+,≤3,<18,0,Debit payments,Female,700–900,Pass
2020,7,1200–1600,100–150,300+,≤3,<18,0,Debit payments,Female,900–1150,Pass
2020,10,1200–1600,50–100,180–300,4–6,<18,0,Debit payments,Male,1350+,Pass
2020,9,1200–1600,50–100,300+,≤3,<18,5,Debit payments,Male,1150–1350,Pass
2020,2,900–1200,0–50,180–300,4–6,<18,0,Store gift card,Female,900–1150,Pass
2020,1,900–1200,0–50,80–120,10–15,<18,0,Credit payments,Female,1150–1350,Pass
2020,5,2000–2400,225+,180–300,4–6,<18,0,Cash payments,Male,1150–1350,Pass
